対象か,付番,原則,達成基準,適合レベル,W3C公式テキスト,簡単解釈,テスト手法,めも,メモ,取引先管理,承認待ちの請求書,発注照合管理,請求書登録,請求書管理,請求書自動登録
Yes,1.1.1,知覚可能,非テキストコンテンツの達成基準,A,利用者に提示されるすべてのhttps://waic.jp/translations/WCAG21/#dfn-non-text-contentには、同等の目的を果たすhttps://waic.jp/translations/WCAG21/#dfn-text-alternativeが提供されている。,画像やアイコンなど文字ではないコンテンツには、同じ意味を伝える説明（代替テキスト）をつける。これで画面を見られない人も内容を理解できる。,"1. axe DevToolsで空のaltがないか確認
2. Accesibility Visualizerで適していないaltの記述がないか確認","1.Bill Oneロゴのaltがない
2.問題なし",,達成,部分的に達成,未達成,達成,未達成,部分的に達成
Yes,1.3.1,知覚可能,情報及び関係性の達成基準,A,何らかの形でhttps://waic.jp/translations/WCAG21/#dfn-presentationされている情報、https://waic.jp/translations/WCAG21/#dfn-structure、及びhttps://waic.jp/translations/WCAG21/#dfn-relationshipsは、https://waic.jp/translations/WCAG21/#dfn-programmatically-determinableである、又はテキストで提供されている。,表や見出しなどの構造は、見た目だけでなくコード上でもわかるようにする。,"1. 見出し・リスト・表などの“見た目上の構造”が、スクリーンリーダーでも正しく伝わるかをチェック。

    ◦ ブラウザの開発者ツールで <h1><h2>...、<ul><li>、<table> などのタグが使われているか確認。
    ◦ コードを触らなくても、読み上げツール（macOS の VoiceOver など）を起動して読み上げ順を聞けばOK。

2. 見出しが単に文字を大きく太字にしただけ、表がただの罫線デザインになっていないかを確認。
3. 視覚的に並んでいる情報（例：項目と値の組み合わせ）が、読み上げでも関係が分かるかを確認。
",,,未達成,達成,達成,部分的に達成,部分的に達成,未達成
Yes,1.3.2,知覚可能,意味のある順序の達成基準,A,コンテンツが提示されている順序が意味に影響を及ぼす場合には、https://waic.jp/translations/WCAG21/#dfn-correct-reading-sequenceはhttps://waic.jp/translations/WCAG21/#dfn-programmatically-determinableである。,テキストや項目は、支援技術で読んでも正しい順番で意味が通じるように並べる。,ボイスオーバーでの読み上げ実施→自然な順序で読み上げられているか確認する,,デザイナー,未達成,未達成,達成,部分的に達成,部分的に達成,未達成
Yes,1.3.3,知覚可能,感覚的な特徴の達成基準,A,コンテンツを理解し操作するための説明は、形、色、大きさ、視覚的な位置、方向、又は音のような、構成要素が持つ感覚的な特徴だけに依存していない。,「右の赤いボタン」など色や位置だけで説明せず、文字やラベルでも伝える。,モノクロ表示にして意味が不明になっている箇所がないか目視でチェックする,,デザイナー,達成,達成,達成,達成,達成,部分的に達成
Yes,1.4.1,知覚可能,色の使用の達成基準,A,色が、情報を伝える、動作を示す、反応を促す、又は視覚的な要素を判別するための唯一の視覚的手段になっていない。,色だけで情報を伝えない。別の方法でも伝える。,"   ◦ （macの場合）設定→アクセシビリティ→ディスプレイ→カラーフィルタをon　
白黒にしても内容が正しく伝わるのかを確認する。",,デザイナー,達成,部分的に達成,達成,達成,達成,達成
Yes,1.4.3,知覚可能,コントラスト (最低限),AA,https://waic.jp/translations/WCAG22/#dfn-text及びhttps://waic.jp/translations/WCAG22/#dfn-images-of-textの視覚的提示に、少なくとも 4.5:1 のhttps://waic.jp/translations/WCAG22/#dfn-contrast-ratioがある。ただし、次の場合は除く:大きな文字https://waic.jp/translations/WCAG22/#dfn-large-scaleテキスト及びサイズの大きな文字画像に、少なくとも 3:1 のコントラスト比がある。付随的テキスト又は文字画像において、次の場合はコントラストの要件はない。アクティブではないhttps://waic.jp/translations/WCAG22/#dfn-user-interface-componentsの一部である、https://waic.jp/translations/WCAG22/#dfn-pure-decorationである、誰も視覚的に確認できない、又は重要な他の視覚的なコンテンツを含む写真の一部分である。ロゴタイプロゴ又はブランド名の一部である文字には、最低限のコントラストの要件はない。,文字と背景の色の差を十分にして、読みやすくする。,"1. 画面の本文テキスト、リンク文字、ボタンラベル、フォームラベル、プレースホルダーなどを対象にする。
2. 無料のコントラストチェッカー（例：https://webaim.org/resources/contrastchecker/）を使って、前景色（文字色）と背景色の組み合わせを測る。
3. ブラウザで 200%ズーム にしても文字が読めるか目視でも確認する。
4. 背景が画像やグラデーションの場合は、実際に見えている状態で一番低いコントラストの箇所を測る。
","1.未完了・完了ラベルはAA未達成
3.は達成",デザイナー,部分的に達成,部分的に達成,部分的に達成,部分的に達成,部分的に達成,部分的に達成
Yes,1.4.4,知覚可能,テキストのサイズ変更の達成基準,AA,https://waic.jp/translations/WCAG21/#dfn-captions及びhttps://waic.jp/translations/WCAG21/#dfn-images-of-textを除き、https://waic.jp/translations/WCAG21/#dfn-textは、コンテンツ又は機能を損なうことなく、https://waic.jp/translations/WCAG21/#dfn-assistive-technologiesなしで 200％ までサイズ変更できる。,文字を大きくしても内容が消えず、読めるようにする。,"1. ブラウザの機能で文字を200%まで拡大できるか確認
2. 目視で拡大した文字が重なったり画面から見切れたりしないか確認",,デザイナー,達成,達成,達成,達成,未達成,達成
Yes,1.4.5,知覚可能,文字画像の達成基準,AA,"使用している技術で意図した視覚的提示が可能である場合、https://waic.jp/translations/WCAG21/#dfn-images-of-textではなくhttps://waic.jp/translations/WCAG21/#dfn-textが情報伝達に用いられている。ただし、次に挙げる場合を除く:
カスタマイズ可能文字画像は、利用者の要求に応じたhttps://waic.jp/translations/WCAG21/#dfn-visually-customizedができる。
必要不可欠テキストの特定の提示が、伝えようとする情報にとってhttps://waic.jp/translations/WCAG21/#dfn-essentialである。",特別な場合を除き、文字は画像ではなくテキストで表示する。,目視でテキストが画像で作られていないか確認,,デザイナー,達成,達成,達成,達成,達成,達成
Yes,1.4.10,知覚可能,リフローの達成基準,AA,"コンテンツは、情報又は機能を損なうことなく、かつ、以下において 2 次元スクロールを必要とせずに提示できる:
• 320 https://waic.jp/translations/WCAG21/#dfn-css-pixelsに相当する幅の縦スクロールのコンテンツ。
• 256 https://waic.jp/translations/WCAG21/#dfn-css-pixelsに相当する高さの横スクロールのコンテンツ。
利用や意味の理解に 2 次元のレイアウトが必須である一部のコンテンツを除く。",小さい画面や拡大表示でも横スクロールせずに読めるようにする。,"画面を400%まで拡大した時（320 CSS ピクセルは、400% ズーム時の開始ビューポート幅 1280 CSS ピクセルに相当する。）、以下の項目を確認する。
• 左右にスクロールせず閲覧できるか
• 覆い隠されてしまうコンテンツはないか","ボタンのレイアウト崩れ
テーブルは厳しい",デザイナー,部分的に達成,未達成,未達成,達成,未達成,部分的に達成
Yes,1.4.11,知覚可能,非テキストのコントラストの達成基準,AA,以下の視覚的https://waic.jp/translations/WCAG21/#dfn-presentationには、隣接した色との間で少なくとも 3:1 のhttps://waic.jp/translations/WCAG21/#dfn-contrast-ratioがある。ユーザインタフェース コンポーネントhttps://waic.jp/translations/WCAG21/#dfn-user-interface-components及びhttps://waic.jp/translations/WCAG21/#dfn-states を特定するのに必要な視覚的な情報。ただし、アクティブではないユーザインタフェース コンポーネントや、そのコンポーネントの見た目がユーザエージェントによって提示されていてコンテンツ制作者が変更していない場合は除く。グラフィカルオブジェクトコンテンツを理解するのに必要なグラフィック部分。ただし、そのグラフィック特有の提示が、情報を伝えるうえでhttps://waic.jp/translations/WCAG21/#dfn-essentialな場合は除く。,アイコンやボタンなど文字以外の要素も、背景と見やすいコントラストにする。,"隣接した色との間で少なくとも 3:1 コントラスト比があるか目視で確認する

1. それぞれの 境界線やシェイプが、背景と十分にコントラストがあるかをチェック。
    ◦ 例：白背景に薄いグレーのボタン枠 → 見づらい

2. フォーカスや選択状態を示す ビジュアルの変化が、背景と十分区別できるかを確認。
",,デザイナー,部分的に達成,未達成,達成,部分的に達成,部分的に達成,部分的に達成
