チェック,チェックする時,チェック内容,確認手段,要件の概要（複数の要件が並んでいる場合があります）,Sansan Viewer 運用状況,Bill One 運用状況,Contract One 運用状況,Eight 運用状況
No,デザイン時,固定されたヘルプ導線は、常に同じ場所に表示している。,Chat GPTに画面を読み込ませて確認,ヘルプへの導線が複数のページにある場合、常に同じ場所に表示することで、迷わず辿り着ける。,やる,,,
No,開発時,"全ての画像に対し、指示通りにalt属性（alt=""XXX”）を実装した。指示がない場合はデザイナーに指摘する。",,"スクリーンリーダーを利用した際に、画像に対し代替テキストが読み上げられることで、情報を理解できる。
※ 意味を持たない装飾的な画像は適切に無視される。",現状はやらない,,,
No,デザイン・PdMレビュー時,画像が指示通りに読み上げられた。,スクリーンリーダーで一通り確認,"スクリーンリーダーを利用した際に、画像に対し代替テキストが読み上げられることで、情報を理解できる。
※ 意味を持たない装飾的な画像は適切に無視される。",現状はやらない,,,
No,デザイン時,画像がある場合、全ての画像に対し、仕様メモでaltの指示「（読み上げてほしいテキスト）」もしくは「読み上げなし」を記入する。,必要有無を確認＆必要なら作業,"スクリーンリーダーを利用した際に、画像に対し代替テキストが読み上げられることで、情報を理解できる。
※ 意味を持たない装飾的な画像は適切に無視される。",現状はやらない,,,
No,デザイン・PdMレビュー時,音声コンテンツがある場合、書き起こしが確認できる。映像コンテンツがある場合は音声解説、もしくは読み上げ可能な書き起こしを確認できる。（1.2.5を満たす場合は音声解説が必須）,必要有無を確認＆必要なら手動で確認,"収録済みの音声のみのコンテンツは、テキストの書き起こしなどによって、聴覚障がいのあるユーザーが内容を理解できる。また、収録済みの映像のみのコンテンツは、音声解説などによって、視覚障がいのあるユーザーが内容を理解できる。,収録済みのメディアコンテンツは、字幕によって内容を理解できる。,収録済みのメディアコンテンツは、動き・表情などの視覚的な情報を、音声解説で理解できる。
※ 読み上げ可能な書き起こしも含む,収録済みのメディアコンテンツは、動き・表情などの視覚的な情報を、音声解説で理解できる。（1.2.3とは異なり、読み上げ可能な書き起こしはNG）","現状はやらない（現在ほぼ達成してそう？）,現状はやらない（現在ほぼ達成してそう？）,現状はやらない（現在ほぼ達成してそう？）,現状はやらない（現在ほぼ達成してそう？）",,,
No,開発時,音声コンテンツがある場合、書き起こしを実装した。映像コンテンツがある場合、音声解説もしくは読み上げ可能な書き起こしを実装した。,,"収録済みの音声のみのコンテンツは、テキストの書き起こしなどによって、聴覚障がいのあるユーザーが内容を理解できる。また、収録済みの映像のみのコンテンツは、音声解説などによって、視覚障がいのあるユーザーが内容を理解できる。,収録済みのメディアコンテンツは、字幕によって内容を理解できる。,収録済みのメディアコンテンツは、動き・表情などの視覚的な情報を、音声解説で理解できる。
※ 読み上げ可能な書き起こしも含む,収録済みのメディアコンテンツは、動き・表情などの視覚的な情報を、音声解説で理解できる。（1.2.3とは異なり、読み上げ可能な書き起こしはNG）","現状はやらない（現在ほぼ達成してそう？）,現状はやらない（現在ほぼ達成してそう？）,現状はやらない（現在ほぼ達成してそう？）,現状はやらない（現在ほぼ達成してそう？）",,,
No,デザイン時,音声コンテンツがある場合、書き起こし時のデザインを用意する。映像コンテンツがある場合は音声解説、もしくは読み上げ可能な書き起こし時のデザインを用意する。（1.2.5を満たす場合は音声解説が必須）,必要有無を確認＆必要なら作業,"収録済みの音声のみのコンテンツは、テキストの書き起こしなどによって、聴覚障がいのあるユーザーが内容を理解できる。また、収録済みの映像のみのコンテンツは、音声解説などによって、視覚障がいのあるユーザーが内容を理解できる。,収録済みのメディアコンテンツは、字幕によって内容を理解できる。,収録済みのメディアコンテンツは、動き・表情などの視覚的な情報を、音声解説で理解できる。
※ 読み上げ可能な書き起こしも含む,収録済みのメディアコンテンツは、動き・表情などの視覚的な情報を、音声解説で理解できる。（1.2.3とは異なり、読み上げ可能な書き起こしはNG）","現状はやらない（現在ほぼ達成してそう？）,現状はやらない（現在ほぼ達成してそう？）,現状はやらない（現在ほぼ達成してそう？）,現状はやらない（現在ほぼ達成してそう？）",,,
No,デザイン・PdMレビュー時,リアルタイムで配信されるコンテンツがある場合、字幕を確認できる。,必要有無を確認＆必要なら手動で確認,リアルタイムで配信されるコンテンツは、字幕によって内容を理解できる。,現状はやらない（現在ほぼ達成してそう？）,,,
No,開発時,リアルタイムで配信されるコンテンツがある場合、字幕表示をデザイナーの指示通りに実装した。,,リアルタイムで配信されるコンテンツは、字幕によって内容を理解できる。,現状はやらない（現在ほぼ達成してそう？）,,,
No,デザイン時,リアルタイムで配信されるコンテンツがある場合、字幕表示時のデザインを用意した。,必要有無を確認＆必要なら作業,リアルタイムで配信されるコンテンツは、字幕によって内容を理解できる。,現状はやらない（現在ほぼ達成してそう？）,,,
No,デザイン・PdMレビュー時,見出し・リスト・Tableの構造が理解できるように読み上げられている。色、形、配置に依存した情報も理解できるように読み上げられる。,スクリーンリーダーで一通り確認,ページの情報がHTMLで構造化され、見出しなどの構造が適切に読み上げられる。また、色、形、配置に依存した情報も、理解できるように読み上げられる。（必須のアスタリスクなど）,現状はやらない,,,
No,開発時,色・形・配置に依存する情報（必須のアスタリスクや、アイコンなど）が適切に読み上げられるように実装する。見出し・リスト・TableのComponentsは、HTMLタグが付与されている。,,ページの情報がHTMLで構造化され、見出しなどの構造が適切に読み上げられる。また、色、形、配置に依存した情報も、理解できるように読み上げられる。（必須のアスタリスクなど）,現状はやらない,,,
No,開発時,スクリーンリーダーを利用した際、コンテンツが正しい順序で読み上げられるように実装した。（Tabindexなど）,,スクリーンリーダーでコンテンツが正しい順序で読み上げられることで、正しく理解できる。,現状はやらない,,,
No,デザイン・PdMレビュー時,スクリーンリーダーを利用した際、コンテンツが正しい順序で読み上げられる。,スクリーンリーダーで一通り確認,スクリーンリーダーでコンテンツが正しい順序で読み上げられることで、正しく理解できる。,現状はやらない,,,
No,デザイン時,「右の写真」や「丸いボタン」など形、色、大きさ、位置だけに依存する表現を使っていない。,Chat GPTに画面を読み込ませて確認,「右の写真」や「丸いボタン」など形、色、大きさ、位置だけに依存する表現がされず、正しく理解できる。,やる,,,
No,開発時,Mobileの場合、デバイスの縦・横向きの画面を指示通り実装をした。,,デバイスを縦向き・横向きいずれの向きで操作していても利用できる。,デバイス上対象外,,,
No,デザイン・PdMレビュー時,Mobileの場合、デバイスの縦・横向きどちらも問題なく利用できる。,必要有無を確認＆必要なら手動で確認,デバイスを縦向き・横向きいずれの向きで操作していても利用できる。,デバイス上対象外,,,
