WCAG番号,適合レベル,原則,達成基準,チェックする時,担当,チェック内容,確認手段,要件の概要,テスト手順詳細,結果,メモ
1.1.1,A,知覚可能,非テキストコンテンツ,デザイン時,デザイナー,画像のalt指示を仕様メモに記入（読み上げテキスト or 読み上げなし）,必要有無確認,画像には代替テキストをつける,,,
1.1.1,A,知覚可能,非テキストコンテンツ,開発時,エンジニア,alt属性を指示通り実装（指示なしはデザイナーに確認）,,画像には代替テキストをつける,,,
1.1.1,A,知覚可能,非テキストコンテンツ,デザイン・PdMレビュー / QAテスト時,デザイナー・PdM / QA,画像が指示通りに読み上げられる / 全画像に適切なalt属性が設定されている,スクリーンリーダーで確認 / axe DevTools / Accessibility Visualizer,画像には代替テキストをつける,"1. axe DevToolsで空のaltがないか確認
2. Accessibility Visualizerで不適切なaltを確認",,
1.2.1,A,知覚可能,音声だけ及び映像だけ（収録済）,デザイン時,デザイナー,音声/映像コンテンツがある場合、書き起こし・音声解説のデザインを用意,必要有無確認,収録済み音声/映像には書き起こしまたは音声解説を提供,,,
1.2.1,A,知覚可能,音声だけ及び映像だけ（収録済）,開発時,エンジニア,書き起こし・音声解説を指示通り実装,,収録済み音声/映像には書き起こしまたは音声解説を提供,,,
1.2.1,A,知覚可能,音声だけ及び映像だけ（収録済）,デザイン・PdMレビュー時,デザイナー・PdM,音声/映像コンテンツに書き起こし・音声解説が確認できる,手動確認,収録済み音声/映像には書き起こしまたは音声解説を提供,,,
1.2.2,A,知覚可能,キャプション（収録済）,デザイン時,デザイナー,収録済みメディアに字幕デザインを用意,必要有無確認,収録済みメディアは字幕によって内容を理解できる,,,
1.2.2,A,知覚可能,キャプション（収録済）,開発時,エンジニア,字幕を指示通り実装,,収録済みメディアは字幕によって内容を理解できる,,,
1.2.2,A,知覚可能,キャプション（収録済）,デザイン・PdMレビュー時,デザイナー・PdM,収録済みメディアに字幕が表示されている,手動確認,収録済みメディアは字幕によって内容を理解できる,,,
1.2.3,A,知覚可能,音声解説又はメディアに対する代替（収録済）,デザイン時,デザイナー,映像コンテンツに音声解説または書き起こしのデザインを用意,必要有無確認,収録済み映像は音声解説で視覚情報を理解できる,,,
1.2.3,A,知覚可能,音声解説又はメディアに対する代替（収録済）,開発時,エンジニア,音声解説または書き起こしを指示通り実装,,収録済み映像は音声解説で視覚情報を理解できる,,,
1.2.4,AA,知覚可能,キャプション（ライブ）,デザイン時,デザイナー,ライブコンテンツに字幕デザインを用意,必要有無確認,ライブ配信は字幕によって内容を理解できる,,,
1.2.4,AA,知覚可能,キャプション（ライブ）,開発時,エンジニア,ライブ字幕を指示通り実装,,ライブ配信は字幕によって内容を理解できる,,,
1.2.4,AA,知覚可能,キャプション（ライブ）,デザイン・PdMレビュー時,デザイナー・PdM,ライブコンテンツに字幕が表示されている,手動確認,ライブ配信は字幕によって内容を理解できる,,,
1.2.5,AA,知覚可能,音声解説（収録済）,デザイン時,デザイナー,映像コンテンツに音声解説のデザインを用意（書き起こし不可）,必要有無確認,収録済み映像は音声解説で視覚情報を理解できる（書き起こし不可）,,,
1.2.5,AA,知覚可能,音声解説（収録済）,開発時,エンジニア,音声解説を指示通り実装,,収録済み映像は音声解説で視覚情報を理解できる（書き起こし不可）,,,
1.3.1,A,知覚可能,情報及び関係性,開発時,エンジニア,色・形・配置に依存する情報（必須マーク等）が適切に読み上げられるよう実装,,表や見出しの構造はコード上でも正しく伝わるようにする,,,
1.3.1,A,知覚可能,情報及び関係性,デザイン・PdMレビュー / QAテスト時,デザイナー・PdM / QA,見出し・リスト・Tableの構造がスクリーンリーダーで理解できる / 情報の構造・関係性がプログラム的に解釈できる,スクリーンリーダーで確認 / axe DevTools / VoiceOver,表や見出しの構造はコード上でも正しく伝わるようにする,"1. h1-h6・ul/ol・tableタグの使用を開発者ツールで確認
2. VoiceOverでリスト・表・見出しが正しく読み上げられるか確認",,
1.3.2,A,知覚可能,意味のある順序,開発時,エンジニア,スクリーンリーダーで正しい順序で読み上げられるよう実装（tabindex等）,,コンテンツは支援技術で読んでも正しい順番で意味が通じる,,,
1.3.2,A,知覚可能,意味のある順序,デザイン・PdMレビュー / QAテスト時,デザイナー・PdM / QA,スクリーンリーダーでコンテンツが正しい順序で読み上げられる / コンテンツの読み上げ順序が意味的に正しい,スクリーンリーダーで確認 / VoiceOver,コンテンツは支援技術で読んでも正しい順番で意味が通じる,VoiceOverで読み上げ順を確認し自然な順序で意味が通じるか確認する,,
1.3.3,A,知覚可能,感覚的な特徴,デザイン時,デザイナー,形・色・大きさ・位置だけに依存する表現を使わない,目視確認,形・色・大きさ・位置だけに依存する説明をしない,,,
1.3.3,A,知覚可能,感覚的な特徴,QAテスト時,QA,色・形・位置のみに依存した説明がない,モノクロ表示・目視,形・色・大きさ・位置だけに依存する説明をしない,モノクロ表示にして意味が不明になっている箇所がないか目視チェック,,
1.3.4,AA,知覚可能,表示の向き,デザイン時,デザイナー,モバイルで縦・横向きの画面デザインを準備,必要有無確認,デバイスを縦・横どちらの向きで操作しても利用できる,,,
1.3.4,AA,知覚可能,表示の向き,開発時,エンジニア,縦・横向きの画面を指示通り実装,,デバイスを縦・横どちらの向きで操作しても利用できる,,,
1.3.4,AA,知覚可能,表示の向き,デザイン・PdMレビュー時,デザイナー・PdM,モバイルで縦・横向きどちらも問題なく利用できる,手動確認,デバイスを縦・横どちらの向きで操作しても利用できる,,,
1.3.5,AA,知覚可能,入力目的の特定,開発時,エンジニア,個人情報入力欄にautocomplete属性を適切に指定,,個人情報入力欄はautocomplete属性が指定されており自動入力を利用できる,,,
1.3.5,AA,知覚可能,入力目的の特定,デザイン・PdMレビュー時,デザイナー・PdM,個人情報入力欄でChromeのオートフィルが利用できる,手動確認,個人情報入力欄はautocomplete属性が指定されており自動入力を利用できる,,,
1.4.1,A,知覚可能,色の使用,デザイン時,デザイナー,色の違いだけで情報を伝えていない,目視確認,色だけで情報を伝えない,,,
1.4.1,A,知覚可能,色の使用,QAテスト時,QA,色だけで情報を伝えている箇所がない,モノクロ表示・目視,色だけで情報を伝えない,macのカラーフィルタをONにして白黒表示で内容が正しく伝わるか確認する,,
